og_url,remapped_url,times_replaced
http://0-www.westlaw.com.au.catalogue.sclqld.org.au/maf/wlau/app/document?docguid=Iaf148eea9d6611e0a619d462427863b2&tocDs=AUNZ_CASES_TOC&isTocNav=true&startChunk=1&endChunk=1,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2007427118&pubNum=3586&originatingDoc=If784dfa087b911e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=51270fd5128349ee83dcbf7b6f136828&contextData=(sc.Default)&comp=wlau,0
http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/HCA/2005/34.html?context=1;query=fingleton%20;mask_path=au/cases/cth/HCA,https://jade.io/article/309,0
http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/nsw/NSWCCA/2009/171.html,https://jade.io/article/95895,0
https://advance-lexis-com.ezproxy-az.sclqld.org.au/api/permalink/e07322c1-da01-48d3-a2d8-5474aafe1932/?context=1201008&identityprofileid=98NNDT55483,https://jade.io/article/169523,0
https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/documentlink/?pdmfid=1201008&crid=1d30bcdb-1ba8-44c3-a48d-9a6504faf7e7&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A65PS-2CC1-F4GK-M1FS-00000-00&pdcontentcomponentid=267708&pddoctitle=%5B2022%5D+QCA+108&pdproductcontenttypeid=urn%3Apct%3A170&pdiskwicview=false&ecomp=g2z2k&prid=4ebd1e4a-1e67-43e8-a783-1d707b2fe1e8,https://jade.io/article/934435,0
https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/onecase/?pdmfid=1201008&crid=fc9ac081-030d-428f-a18f-09184595b47d&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A5SM9-G441-F1WF-M2G8-00000-00&pdcontentcomponentid=267708&pdteaserkey=cr2&pdicsfeatureid=1517127&pditab=allpods&ecomp=hctpk&earg=cr2&prid=3b8415b2-7479-4be0-a425-f59030f2e5b6,https://jade.io/article/592896,0
https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/?pdmfid=1201008&crid=c50bb7ff-acb2-4654-958a-63d7fec84c23&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A5PB3-H441-FFFC-B09G-00000-00&pdcontentcomponentid=267708&pdshepid=urn%3AcontentItem%3A5PB3-H441-FFFC-B09G-00000-00&pdteaserkey=sr0&pdicsfeatureid=1517127&pditab=allpods&ecomp=hwtpk&earg=sr0&prid=7a737290-5d59-41c4-a16b-618471f9cbbe,https://jade.io/article/207164,0
https://anzlaw.thomsonreuters.com/Document/I37d5c5a0899111e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/142452,0
https://anzlaw.thomsonreuters.com/Document/I4993857088ab11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/206991,0
https://anzlaw.thomsonreuters.com/Document/I63a2bbe088a911e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/206684,0
