og_url,remapped_url
http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/HCA/2005/34.html?context=1;query=fingleton%20;mask_path=au/cases/cth/HCA,https://jade.io/article/309
http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/nsw/NSWCCA/2009/171.html,https://jade.io/article/95895
https://advance-lexis-com.ezproxy-az.sclqld.org.au/api/permalink/e07322c1-da01-48d3-a2d8-5474aafe1932/?context=1201008&identityprofileid=98NNDT55483,https://jade.io/article/169523
https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/documentlink/?pdmfid=1201008&crid=1d30bcdb-1ba8-44c3-a48d-9a6504faf7e7&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A65PS-2CC1-F4GK-M1FS-00000-00&pdcontentcomponentid=267708&pddoctitle=%5B2022%5D+QCA+108&pdproductcontenttypeid=urn%3Apct%3A170&pdiskwicview=false&ecomp=g2z2k&prid=4ebd1e4a-1e67-43e8-a783-1d707b2fe1e8,https://jade.io/article/934435
https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/onecase/?pdmfid=1201008&crid=fc9ac081-030d-428f-a18f-09184595b47d&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A5SM9-G441-F1WF-M2G8-00000-00&pdcontentcomponentid=267708&pdteaserkey=cr2&pdicsfeatureid=1517127&pditab=allpods&ecomp=hctpk&earg=cr2&prid=3b8415b2-7479-4be0-a425-f59030f2e5b6,https://jade.io/article/592896
https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/?pdmfid=1201008&crid=c50bb7ff-acb2-4654-958a-63d7fec84c23&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A5PB3-H441-FFFC-B09G-00000-00&pdcontentcomponentid=267708&pdshepid=urn%3AcontentItem%3A5PB3-H441-FFFC-B09G-00000-00&pdteaserkey=sr0&pdicsfeatureid=1517127&pditab=allpods&ecomp=hwtpk&earg=sr0&prid=7a737290-5d59-41c4-a16b-618471f9cbbe,https://jade.io/article/207164
https://anzlaw.thomsonreuters.com/Document/I37d5c5a0899111e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/142452
https://anzlaw.thomsonreuters.com/Document/I4993857088ab11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/206991
https://anzlaw.thomsonreuters.com/Document/I63a2bbe088a911e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/206684
https://anzlaw.thomsonreuters.com/Document/I78192fc0184511ed81c5f735b8cf580f/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/940630
https://anzlaw.thomsonreuters.com/Document/I8669f472a2e611eab1cbf180a7ce9b34/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/736792
https://anzlaw.thomsonreuters.com/Document/Ic8896d50642211efb6d78c1fa0b6d9c8/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/1087633
https://anzlaw.thomsonreuters.com/Document/Ic8d28070cf8611eea4f4c0c40afe197b/View/FullText.html?transitionType=UniqueDocItem&contextData=(sc.Default)&userEnteredCitation=R+v+Tracy+%5b2024%5d+QCA+19&comp=wlau,https://jade.io/article/1063291
https://anzlaw.thomsonreuters.com/Document/Icc9597108cf011efaf09a53406c15bac/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/1095366
https://anzlaw.thomsonreuters.com/Document/Idb17678087b311e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/68197
https://anzlaw.thomsonreuters.com/Document/If32f523088ab11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,https://jade.io/article/166959
https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1981172709&pubNum=3586&originatingDoc=I62b4467087a711e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=3330ee783afa40b282a2af2e018cf321&contextData=(sc.Default)&comp=wlau,https://jade.io/article/172213
https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/documentlink/?pdmfid=1201008&crid=1164d926-6293-4843-b66d-e968edc7c453&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A59TD-NJD1-F2TK-207D-00000-00&pdcontentcomponentid=267706&pddoctitle=%5B2013%5D+NSWCCA+237&pdproductcontenttypeid=urn%3Apct%3A170&pdiskwicview=false&ecomp=g2z2k&prid=d94956b2-cfb0-4540-b780-f2356e032685,https://jade.io/article/304968
https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/onecase/?pdmfid=1201008&crid=147082ab-2b23-49f1-9af4-de849d6285aa&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A5MXP-1H71-FJDY-X1SP-00000-00&pdcontentcomponentid=267706&pdteaserkey=cr2&pdicsfeatureid=1517127&pditab=allpods&ecomp=hwtpk&earg=cr2&prid=336b910a-2fb9-42a0-8e75-fcd6380091ac,https://jade.io/article/521424
https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/onecase/?pdmfid=1201008&crid=aa1130db-3cb7-47e9-b849-090908a82a3d&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A61JY-V8T1-K0HK-22K8-00000-00&pdcontentcomponentid=267706&pdteaserkey=cr1&pdicsfeatureid=1517127&pditab=allpods&ecomp=hwtpk&earg=cr1&prid=33c2ae89-0482-4cab-a84e-7d304e933fe9,https://jade.io/article/780385
https://eresources.hcourt.gov.au/downloadPdf/2016/HCA/12,https://jade.io/article/460468
https://eresources.hcourt.gov.au/showbyHandle/1/11654,https://jade.io/article/67216
https://eresources.hcourt.gov.au/showbyHandle/1/9350,https://jade.io/article/65623
https://eresources.hcourt.gov.au/showbyHandle/1/9647,https://jade.io/article/67910
https://eresources.hcourt.gov.au/showCase/2015/HCA/38,https://jade.io/article/415683
https://eresources.hcourt.gov.au/showCase/2020/HCA/11,https://jade.io/article/722112
https://plus.lexis.com/apac/document/documentlink/?pdmfid=1539278&crid=1a1483c6-e19f-4a16-a678-a363645bf34c&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn:contentItem:683K-BM51-K0BB-S3B5-00000-00&pdcontentcomponentid=267708&pdproductcontenttypeid=urn:pct:170&pdiskwicview=false&pdpinpoint=&prid=c8f70373-9fba-4380-8463-e3671f91a333&ecomp=7g_ck,https://jade.io/article/980859
https://plus.lexis.com/apac/document/documentlink/?pdmfid=1539278&crid=203fbd3a-aea5-4339-94ff-d09a86eb021e&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn:contentItem:6D8B-JTD3-MB3C-T278-00000-00&pdcontentcomponentid=267708&pdproductcontenttypeid=urn:pct:170&pdiskwicview=false&pdpinpoint=&prid=b4c3838a-5650-4e9a-802c-275c5c2ad1de&ecomp=7g_ck,https://jade.io/article/1104840
