page_no,link_text,link_destination,jade_mnc_link,jade_article_link
189,[1998]HCA21,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-23/HCA/Gipp%20v%20The%20Queen%20%28B4-1998%29%20%5B1998%5D%20HCA%2021.pdf,https://jade.io/mnc/1998/hca/21,https://jade.io/article/68042
189,[1998]HCA51,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-23/HCA/Penney%20v%20The%20Queen%20%28A66-1997%29%20%5B1998%5D%20HCA%2051.pdf,https://jade.io/mnc/1998/hca/51,https://jade.io/article/68075
194,[1999]QCA270,https://archive.sclqld.org.au/qjudgment/1999/QCA99-270.pdf,https://jade.io/mnc/1999/qca/270,https://jade.io/article/545037
197,[2010]QCA342,http://archive.sclqld.org.au/qjudgment/2010/QCA10-342.pdf,https://jade.io/mnc/2010/qca/342,https://jade.io/article/207376
197,[2011]QCA386,http://archive.sclqld.org.au/qjudgment/2011/QCA11-386.pdf,https://jade.io/mnc/2011/qca/386,https://jade.io/article/259582
197,[2000]HCA28,https://www.hcourt.gov.au/sites/default/files/eresources/2000/HCA/28.pdf,https://jade.io/mnc/2000/hca/28,https://jade.io/article/68195
197,[2000]HCA28,https://www.hcourt.gov.au/sites/default/files/eresources/2000/HCA/28.pdf,https://jade.io/mnc/2000/hca/28,https://jade.io/article/68195
197,[2003]HCA40,https://www.hcourt.gov.au/sites/default/files/eresources/2003/HCA/40.pdf,https://jade.io/mnc/2003/hca/40,https://jade.io/article/68411
197,[2010]QCA150,http://archive.sclqld.org.au/qjudgment/2010/QCA10-150.pdf,https://jade.io/mnc/2010/qca/150,https://jade.io/article/181805
197,[2011]QCA343,http://archive.sclqld.org.au/qjudgment/2011/QCA11-343.pdf,https://jade.io/mnc/2011/qca/343,https://jade.io/article/258305
197,[2019]HCA10,https://www.hcourt.gov.au/sites/default/files/eresources/2019/HCA/10.pdf,https://jade.io/mnc/2019/hca/10,https://jade.io/article/638270
200,[2010]QCA244,http://archive.sclqld.org.au/qjudgment/2010/QCA10-244.pdf,https://jade.io/mnc/2010/qca/244,https://jade.io/article/207326
200,[2010]QCA342,http://archive.sclqld.org.au/qjudgment/2010/QCA10-342.pdf,https://jade.io/mnc/2010/qca/342,https://jade.io/article/207376
200,[2001]QCA309,http://archive.sclqld.org.au/qjudgment/2001/QCA01-309.pdf,https://jade.io/mnc/2001/qca/309,https://jade.io/article/167137
