url,count,array_agg,array_agg
http://archive.sclqld.org.au/qjudgment/1996/QCA96-256.pdf,4,"{ch_administering_poison,ch_administering_stupefying_drug,ch_administering_stupefying_drug,ch_administering_poison}","{Chapter 10.11 Administering Poison with Intent to Harm.docx,Chapter 10.10 Administering a Stupefying or Overpowering Drug or Thing with Intent s 316.docx,Chapter 10.10 Administering a Stupefying or Overpowering Drug or Thing with Intent s 316.docx,Chapter 10.11 Administering Poison with Intent to Harm.docx}"
http://archive.sclqld.org.au/qjudgment/1996/QCA96-405.pdf,2,"{ch_defendant_evidence_co_defendant,ch_defendant_evidence_co_defendant}","{Chapter 4.1 Evidence of Defendant in Respect of Co-Defendant.docx,Chapter 4.1 Evidence of Defendant in Respect of Co-Defendant.docx}"
http://archive.sclqld.org.au/qjudgment/1997/QCA97-441.pdf,4,"{ch_identification,ch_identification,ch_identification,ch_identification}","{Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx}"
http://archive.sclqld.org.au/qjudgment/1997/QCA97-452.pdf,4,"{ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/1997/QCA97-460.pdf,4,"{ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/1997/QCA97-483.pdf,2,"{ch_identification,ch_identification}","{Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx}"
http://archive.sclqld.org.au/qjudgment/1998/QCA98-064.pdf,4,"{ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/1998/QCA98-188.pdf,4,"{ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/1998/QCA98-393.pdf,4,"{ch_going_armed_public,ch_going_armed_public,ch_going_armed_public,ch_going_armed_public}","{Chapter 15.6 Going Armed in Public.docx,Chapter 15.6 Going Armed in Public.docx,Chapter 15.6 Going Armed in Public.docx,Chapter 15.6 Going Armed in Public.docx}"
http://archive.sclqld.org.au/qjudgment/1999/QCA99-105.pdf,6,"{ch_identification,ch_identification,ch_identification,ch_identification,ch_identification,ch_identification}","{Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx}"
