ch,link_text,link_destination,domain,is_sublink
1,[2000] QCA 244,https://www.queenslandjudgments.com.au/caselaw/qca/2000/244,queenslandjudgments.com.au,False
1,(2002) 76 ALJR 628,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2002178223&pubNum=5147&originatingDoc=I6f4c1e9087b511e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=76acafcb7d4440a5bf6494b4d76093e4&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
1,[2002] HCA 12,https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/12.pdf,hcourt.gov.au,False
1,[2003] NSWCCA 174,https://www.caselaw.nsw.gov.au/decision/549fa8ff3004262463b593e5,caselaw.nsw.gov.au,False
1,(2000) 112 A Crim R 417,https://anzlaw.thomsonreuters.com/Document/I75a4a99088d411e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&comp=wlau,anzlaw.thomsonreuters.com,False
1,[2000] QCA 244,https://www.queenslandjudgments.com.au/caselaw/qca/2000/244,queenslandjudgments.com.au,False
1,(2000) 199 CLR 620,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2000496633&pubNum=3586&originatingDoc=Idb17678087b311e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=4481d45a3e6744b0b3b7d73a45be270a&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
1,[2000] HCA 3,https://www.hcourt.gov.au/sites/default/files/eresources/2000/HCA/3.pdf,hcourt.gov.au,False
10.1,[1995] 2 Qd R 490,https://www.queenslandjudgments.com.au/case-download/id/503482,queenslandjudgments.com.au,False
10.1,[2016] 2 Qd R 602,https://www.queenslandjudgments.com.au/case-download/id/512574,queenslandjudgments.com.au,False
10.1,[2016] QDC 308,https://www.queenslandjudgments.com.au/caselaw/qdc/2016/308,queenslandjudgments.com.au,False
10.1,Hayman v Cartwright [2018] WASCA 116,https://jade.io/article/596260,jade.io,False
10.1,(2018) 53 WAR 137,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2045147751&pubNum=5146&originatingDoc=I019ed680aaa611e8b9f2db006db927ca&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=1d8c2cc3d93b4f92b8a88c9a86198496&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
10.1,in Murphy v Spencer [2013] WASC 256,https://jade.io/article/298093,jade.io,False
