link_id,page_no,link_text,surrounding_text,link_destination,link_domain
3830,685,(2022) 10 QR 825,"12 Offences Against Liberty and Stalking In R v Glover (2022)10 QR 825, 835 [35] it was held to be a misdirection where",https://www.queenslandjudgments.com.au/citation/2022-10-QR-825,queenslandjudgments
3903,707,[2022] QCA 103,"knew she was not authorised … In R v Jayaweera [2022]QCA 103, Fraser and Bond JA said at [11]–[13]: [11] It does",https://www.queenslandjudgments.com.au/caselaw/qca/2022/103,queenslandjudgments
4257,790,[2022] QCA 77,"identify precisely the ‘act’ in question. In R v Beauchamp [2022]QCA 77, for example, the trial judge did not adequately distinguish for",https://www.queenslandjudgments.com.au/caselaw/qca/2022/77,queenslandjudgments
4472,809,[2024] QCA 198,"JA, all members of the Court in R v Kalisa [2024]QCA 198 at [6], [9] and [94] preferred the formulation by McMurdo",https://www.queenslandjudgments.com.au/caselaw/qca/2024/198,queenslandjudgments
4611,821,(2022) 11 QR 609,"v Dimitropoulos [2020]QCA 75 and Lynch v Commissioner of Police (2022)11 QR 609, defendants unsuccessfully laid claim to s 25 to excuse production",https://www.queenslandjudgments.com.au/case/id/513117,queenslandjudgments
4628,827,(2022) 12 QR 417,"liable to have such threats made’. In R v Pain (2022)12 QR 417, a member of one outlaw motorcycle gang was charged with",https://www.queenslandjudgments.com.au/case/id/513144,queenslandjudgments
4638,831,(2022) 12 QR 417,"liable to have such threats made’. In R v Pain (2022)12 QR 417, a member of one outlaw motorcycle gang was charged with",https://www.queenslandjudgments.com.au/case/id/513144,queenslandjudgments
4641,835,(2023) 13 QR 276,"of the relevant residential “building”or “structure”’. In R v Richards (2023)13 QR 276, the Court of Appeal upheld the trial judge’s ruling that",https://www.queenslandjudgments.com.au/case/id/513158,queenslandjudgments
4718,857,[2024] QCA 164,"bodily harm, not whether grievous bodily harm occurred(R v Speakman [2024]QCA 164, [13]). As to whether the defendant intended to cause death",https://www.queenslandjudgments.com.au/caselaw/qca/2024/164,queenslandjudgments
4760,877,[2024] QCA 240,273 was considered by Crowley J in R v Lefoe [2024]QCA 240. His Honour (Mullins P and Kelly J agreeing) held that,https://www.queenslandjudgments.com.au/caselaw/qca/2024/240,queenslandjudgments
4761,877,[2024] QCA 240,"defend themselves, such as where they were unconscious(R v Lefoe [2024]QCA 240, [104]-[105]). The state of mind relevant to s 273 is",https://www.queenslandjudgments.com.au/caselaw/qca/2024/240,queenslandjudgments
4765,877,[2024] QCA 240,"bodily harm to use force to defend them(R v Lefoe [2024]QCA 240, [107]). Section 24 may operate in combination with s 273",https://www.queenslandjudgments.com.au/caselaw/qca/2024/240,queenslandjudgments
4767,877,[2023] 14 QR 20,"for the defendant to step in and help(R v Markovski [2023]14 QR 20, [33]). The following suggested direction does not describe the specific",https://www.queenslandjudgments.com.au/case/id/513178,queenslandjudgments
