link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link,instrument_title,section_name,legislation_top_link
3164,488,Section 229,Section 216–Abuse of persons with an impairment of the mind Section 229 - Knowledge of age immaterial Section 745 - Application of,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 229,https://jade.io/article/529633
3165,488,Section 745 -,of the mind Section 229 - Knowledge of age immaterial Section 745 - Application of former s 215 Section 756 - Offences charged,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 745,https://jade.io/article/529633
3166,488,Section 756,age immaterial Section 745 - Application of former s 215 Section 756 - Offences charged before or after the commencement of the,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 756,https://jade.io/article/529633
3174,493,Section 215–Engaging,August 2023) 11.6.1 Legislation [Last reviewed: December 2024] Criminal Code Section 215–Engaging in penile intercourse with child under 16 Section 6–Meaning of,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 215,https://jade.io/article/529633
3175,493,Section 6–Meaning,Code Section 215–Engaging in penile intercourse with child under 16 Section 6–Meaning of engage in penile intercourse Section 229–Knowledge of age immaterial,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 6,https://jade.io/article/529633
3176,493,Section 229–Knowledge,child under 16 Section 6–Meaning of engage in penile intercourse Section 229–Knowledge of age immaterial Section 745 – Application of former s,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 229,https://jade.io/article/529633
3177,493,Section 745,of engage in penile intercourse Section 229–Knowledge of age immaterial Section 745 – Application of former s 215 Section 756 – Offences,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 745,https://jade.io/article/529633
3178,493,Section 756,age immaterial Section 745 – Application of former s 215 Section 756 – Offences charged before or after the commencement of the,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 756,https://jade.io/article/529633
3187,498,Section 228A–Involving,April 2005) 11.7.1 Legislation [Last reviewed: October 2024] Criminal Code Section 228A–Involving a child in making child exploitation material. Section 207A–Definitions for,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 228A,https://jade.io/article/529633
3188,498,Section 207A–Definitions,Code Section 228A–Involving a child in making child exploitation material. Section 207A–Definitions for Chapter 22. Section 228E–Defences for ss 228A-228DC. Section 228F–Excluding,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009,qld,,Criminal Code Act 1899 (QLD),Section 207A,https://jade.io/article/529633
